sample,gap,mode,depth_norm,metric_space,pair_count,all_count,middle_count,given_count,all_psnr,middle_psnr,given_psnr
MEAN_WEIGHTED,5,sliding_fixed,per_frame,official_256_float,289,1734,1156,578,25.75066886834122,21.30075816741288,34.6504902701979
MEAN_WEIGHTED,5,sliding_fixed,per_frame,stage72_512_float,289,1734,1156,578,23.369575999447243,20.16838250204665,29.771962994248412
MEAN_WEIGHTED,5,sliding_fixed,per_frame,stage72_512_uint8,289,1734,1156,578,23.367088994008505,20.167664434074318,29.765938113876874
MEAN_WEIGHTED,8,sliding_fixed,per_frame,official_256_float,277,2493,1939,554,23.074118356381106,19.767532338123914,34.64716942028127
MEAN_WEIGHTED,8,sliding_fixed,per_frame,stage72_512_float,277,2493,1939,554,21.287775048101732,18.858204815342486,29.791270862759074
MEAN_WEIGHTED,8,sliding_fixed,per_frame,stage72_512_uint8,277,2493,1939,554,21.286018461825766,18.857665963378977,29.78525220638951
